,county,state,state_abbr,population,FI_perc,num_FI,geoid,fips,gini,gini_margin_error
0,"aleutians east borough, alaska",alaska,AK,3299,0.129,420,0500000US02013,2013,0.3868,0.0161
1,"aleutians west census area, alaska",alaska,AK,5714,0.124,710,0500000US02016,2016,0.3659,0.014
2,"anchorage municipality, alaska",alaska,AK,299321,0.12,35850,0500000US02020,2020,0.4201,0.0084
3,"bethel census area, alaska",alaska,AK,17885,0.217,3880,0500000US02050,2050,0.4289,0.0137
4,"bristol bay borough, alaska",alaska,AK,942,0.127,120,0500000US02060,2060,0.3808,0.0357
5,"denali borough, alaska",alaska,AK,2125,0.13699999999999998,290,0500000US02068,2068,0.3762,0.0414
6,"dillingham census area, alaska",alaska,AK,4980,0.16899999999999998,840,0500000US02070,2070,0.4268,0.0211
7,"fairbanks north star borough, alaska",alaska,AK,100150,0.12300000000000001,12320,0500000US02090,2090,0.4029,0.0154
8,"haines borough, alaska",alaska,AK,2528,0.139,350,0500000US02100,2100,0.4263,0.0447
9,"hoonah-angoon census area, alaska",alaska,AK,2107,0.161,340,0500000US02105,2105,0.3908,0.0207
10,"juneau city and borough, alaska",alaska,AK,32524,0.106,3430,0500000US02110,2110,0.379,0.0318
11,"kenai peninsula borough, alaska",alaska,AK,57637,0.134,7740,0500000US02122,2122,0.4179,0.0151
12,"ketchikan gateway borough, alaska",alaska,AK,13715,0.134,1840,0500000US02130,2130,0.4158,0.0155
13,"kodiak island borough, alaska",alaska,AK,13918,0.11199999999999999,1560,0500000US02150,2150,0.3845,0.0269
14,"kusilvak census area, alaska",alaska,AK,7993,0.273,2180,0500000US02158,2158,0.4156,0.0139
15,"lake and peninsula borough, alaska",alaska,AK,1411,0.18600000000000003,260,0500000US02164,2164,0.4409,0.0423
16,"matanuska-susitna borough, alaska",alaska,AK,98679,0.125,12370,0500000US02170,2170,0.4061,0.0076
17,"nome census area, alaska",alaska,AK,9879,0.214,2110,0500000US02180,2180,0.4413,0.0176
18,"north slope borough, alaska",alaska,AK,9681,0.145,1410,0500000US02185,2185,0.4155,0.0268
19,"northwest arctic borough, alaska",alaska,AK,7723,0.226,1740,0500000US02188,2188,0.42,0.0143
20,"petersburg borough, alaska",alaska,AK,3196,0.127,400,0500000US02195,2195,0.4475,0.0277
21,"prince of wales-hyder census area, alaska",alaska,AK,6374,0.165,1050,0500000US02198,2198,0.4103,0.0137
22,"sitka city and borough, alaska",alaska,AK,8921,0.12,1070,0500000US02220,2220,0.3924,0.0218
23,"skagway municipality, alaska",alaska,AK,1014,0.14300000000000002,140,0500000US02230,2230,0.3262,0.0211
24,"southeast fairbanks census area, alaska",alaska,AK,6970,0.151,1050,0500000US02240,2240,0.3899,0.02
25,"valdez-cordova census area, alaska",alaska,AK,9522,0.122,1170,0500000US02261,2261,0.4122,0.0269
