,fips,gini_2010,gini_2011,gini_2012,gini_2013,gini_2014,gini_2015,gini_2016,county,FI_rate_2010,num_FI_2010,FI_child_2010,num_child_2010,FI_rate_2011,num_FI_2011,FI_child_2011,num_child_2011,FI_rate_2012,num_FI_2012,FI_child_2012,num_child_2012,FI_rate_2013,num_FI_2013,FI_child_2013,num_child_2013,FI_rate_2014,num_FI_2014,FI_child_2014,num_child_2014,FI_rate_2015,num_FI_2015,FI_child_2015,num_child_2015,FI_rate_2016,num_FI_2016,FI_child_2016,num_child_2016,med_house_inc_2010,perc_below_pov_2010,med_house_inc_2011,perc_below_pov_2011,med_house_inc_2012,perc_below_pov_2012,med_house_inc_2013,perc_below_pov_2013,med_house_inc_2014,perc_below_pov_2014,med_house_inc_2015,perc_below_pov_2015,med_house_inc_2016,perc_below_pov_2016
0,1001,0.405,0.4065,0.4122,0.4031,0.41,0.4227,0.4295,"Autauga County, Alabama",0.134,7140,0.203,2980.0,0.136,7310,0.196,2890,0.135,7360,0.205,3010,0.139,7620,0.215,3090,0.14400000000000002,7930,0.22399999999999998,3190,0.139,7680.0,0.21,2950.00,0.134,7360,0.19899999999999998,2760,53255,7.5,53899,7.4,53773,7.4,53682,8.3,52475,9.1,51281.0,9.3,53099,9.4
1,1003,0.439,0.43700000000000006,0.4364,0.4455,0.4517,0.4564,0.4608,"Baldwin County, Alabama",0.134,23570,0.23800000000000002,9720.0,0.131,23540,0.23,9550,0.135,24660,0.237,9960,0.13699999999999998,25720,0.239,10200,0.13699999999999998,26200,0.23800000000000002,10270,0.13,25350.0,0.22,9620.00,0.12300000000000001,24500,0.207,9180,50147,9.1,51321,9.0,50706,9.6,50221,10.3,50183,10.2,50254.0,9.6,51365,9.3
2,1005,0.46399999999999997,0.4536,0.4758,0.4658,0.4608,0.4642,0.462,"Barbour County, Alabama",0.23199999999999998,6440,0.258,1600.0,0.23,6330,0.259,1590,0.22699999999999998,6240,0.284,1710,0.223,6090,0.295,1740,0.233,6330,0.3,1760,0.23399999999999999,6290.0,0.29600000000000004,1700.00,0.23199999999999998,6160,0.294,1690,33219,19.9,34041,19.1,31889,20.2,32911,20.8,35634,19.1,32964.0,19.5,33956,20.0
3,1007,0.41100000000000003,0.4064,0.4212,0.45,0.4365,0.441,0.4494,"Bibb County, Alabama",0.157,3550,0.249,1300.0,0.158,3590,0.248,1330,0.154,3510,0.244,1290,0.162,3690,0.263,1330,0.16399999999999998,3730,0.266,1310,0.161,3650.0,0.25,1230.00,0.158,3580,0.24100000000000002,1150,41770,9.4,40506,11.7,36824,13.1,36447,15.1,37984,13.0,38678.0,12.8,39776,11.7
4,1009,0.42200000000000004,0.4176,0.4112,0.4144,0.4134,0.4037,0.4165,"Blount County, Alabama",0.126,7160,0.254,3540.0,0.121,6900,0.245,3440,0.11800000000000001,6770,0.243,3400,0.121,6960,0.249,3490,0.122,7030,0.255,3540,0.113,6510.0,0.239,3260.00,0.11,6340,0.228,3100,45549,10.0,45404,10.2,45192,10.9,44145,12.0,44409,13.2,45813.0,12.3,46212,12.2
5,1011,0.5329999999999999,0.5268,0.4979,0.4899,0.446,0.4648,0.4701,"Bullock County, Alabama",0.285,3110,0.29100000000000004,730.0,0.27,2930,0.284,680,0.24100000000000002,2600,0.253,600,0.237,2550,0.238,550,0.244,2610,0.239,550,0.244,2610.0,0.255,570.00,0.26,2740,0.278,630,31602,22.6,31955,22.1,34500,18.4,32033,18.3,34804,18.3,31938.0,22.7,29335,25.3
6,1013,0.46299999999999997,0.4566,0.4691,0.4659,0.4591,0.4506,0.4588,"Butler County, Alabama",0.231,4820,0.257,1270.0,0.22699999999999998,4740,0.254,1280,0.221,4570,0.265,1320,0.223,4610,0.287,1400,0.226,4630,0.29100000000000004,1410,0.22,4480.0,0.273,1290.00,0.217,4410,0.26899999999999996,1270,30659,19.7,31273,21.4,30752,21.6,29918,23.3,31571,21.3,32229.0,20.5,34315,20.6
7,1015,0.45299999999999996,0.45399999999999996,0.4532,0.4594,0.4545,0.4464,0.4543,"Calhoun County, Alabama",0.171,20020,0.254,6760.0,0.175,20550,0.256,6910,0.172,20290,0.263,7070,0.17800000000000002,20900,0.269,7170,0.182,21340,0.27899999999999997,7340,0.174,20280.0,0.263,6860.00,0.16699999999999998,19370,0.247,6330,38407,15.2,39467,15.4,40093,16.1,39962,17.0,40919,17.0,41703.0,16.5,41954,15.8
8,1017,0.425,0.4376,0.4576,0.4773,0.5023,0.4831,0.4734,"Chambers County, Alabama",0.225,7770,0.26899999999999996,2160.0,0.21,7230,0.257,2020,0.205,7010,0.27699999999999997,2160,0.205,7000,0.283,2140,0.21100000000000002,7200,0.287,2120,0.203,6920.0,0.261,1920.00,0.195,6620,0.245,1790,31467,16.4,32186,17.3,32181,20.2,32402,21.0,32835,19.5,34177.0,17.2,36027,15.3
9,1019,0.439,0.4477,0.4556,0.4639,0.4658,0.4573,0.4464,"Cherokee County, Alabama",0.146,3750,0.27699999999999997,1470.0,0.15,3860,0.307,1640,0.14800000000000002,3850,0.29100000000000004,1550,0.151,3940,0.289,1550,0.146,3810,0.28600000000000003,1510,0.139,3630.0,0.261,1390.00,0.125,3240,0.22399999999999998,1190,40690,13.7,37833,16.5,36241,15.9,34907,16.9,34983,17.0,36296.0,15.1,38925,13.3
